0,764
1000,764
2000,764
3001,765
4001,764
5002,764
6002,764
7003,764
8003,764
9004,764
10004,765
11004,764
12005,765
13005,764
14006,764
15006,764
16007,764
17007,763
18008,764
19008,764
20009,763
21010,764
22010,764
23011,764
24011,764
25012,764
26012,763
27013,763
28013,764
29014,764
30014,763
31014,765
32015,37
33015,35
34016,35
35017,35
36018,37
37018,38
38019,35
39019,35
40019,35
41020,34
42020,34
43021,34
44021,763
45022,33
46022,33
47023,33
48023,33
49024,33
50024,33
51024,33
52025,32
53025,32
54026,33
55026,32
56027,32
57027,32
58028,33
59028,33
60028,34
61029,33
62029,33
63030,33
64031,32
65032,32
66032,32
67033,33
68033,33
69033,33
70034,33
71034,33
72035,32
73035,33
74036,33
75036,33
76037,33
77037,32
78038,32
79038,34
80038,36
81039,32
82039,33
83040,32
84040,33
85041,32
86041,33
87042,33
88042,32
89042,33
90043,33
91043,32
92044,33
93044,32
94045,33
95045,35
96047,35
97047,35
98048,36
99048,31
100048,31
101049,32
102049,31
103050,31
104050,32
105051,31
106051,34
107052,35
108052,35
109052,33
110053,37
111053,34
112055,34
113055,37
114056,37
115056,37
116057,35
117057,41
118057,41
119058,41
120058,34
121059,37
122059,38
123060,35
124060,37
125062,36
126062,37
127063,36
128063,40
129063,37
130064,35
131064,36
132065,36
133065,36
134066,36
135066,35
136067,36
137067,37
138067,38
139069,40
140069,40
141070,41
142070,41
143071,40
144071,41
145072,40
146072,40
147073,41
148073,41
149073,41
150074,41
151074,39
152076,41
153076,41
154077,37
155077,41
156078,36
157078,41
158078,40
159079,41
160079,41
161080,40
162080,41
163081,41
164081,41
165082,42
166083,42
167084,40
168084,39
169084,41
170085,38
171085,39
172086,41
173086,38
174087,39
175087,34
176088,34
177088,123
178088,34
179090,34
180090,33
181091,34
182091,42
183092,34
184092,34
185093,34
186093,35
187094,35
188094,35
189094,35
190095,34
191095,39
192097,38
193097,38
194098,38
195098,38
196099,37
197099,41
198099,36
199100,35
200100,35
201101,34
202101,36
203102,36
204102,36
205103,36
206104,36
207105,36
208105,35
209105,37
210106,36
211106,34
212107,36
213107,36
214108,35
215108,34
216109,36
217109,37
218109,35
219111,35
220111,35
221112,36
222112,36
223113,35
224113,35
225114,36
226114,36
227115,36
228115,35
229115,41
230116,36
231116,36
232117,36
233118,36
234119,36
235119,34
236120,35
237120,36
238120,34
239121,34
240121,38
241122,39
242122,38
243123,38
244123,178
245124,38
246125,38
247126,38
248126,37
249126,32
250127,38
251127,38
252128,36
253128,37
254129,38
255129,38
256130,38
257130,38
258130,37
259132,35
260132,36
261133,36
262133,35
263134,34
264134,34
265135,34
